Metric,Step,Value,Wall_time
Loss/Total,0,5.41478157043457,1766241138.7901134
Loss/Total,50,4.673579216003418,1766241251.7524016
Loss/Total,100,4.4828901290893555,1766241365.1418734
Loss/Total,150,4.412378311157227,1766241479.1888256
Loss/Total,200,4.140072345733643,1766241593.0459042
Loss/Total,250,4.176163673400879,1766241707.1520014
Loss/Total,300,3.9711344242095947,1766241818.0493782
Loss/Total,350,4.162926197052002,1766241932.4334717
Loss/Total,400,4.137144088745117,1766242042.470798
Loss/Total,450,4.202171325683594,1766242155.216862
Loss/Total,500,3.8981480598449707,1766242262.022033
Loss/Total,550,4.038262844085693,1766242374.5745041
Loss/Total,600,3.9400758743286133,1766242489.8411353
Loss/Total,650,3.744325637817383,1766242605.2352133
Loss/Total,700,3.7936604022979736,1766242719.3556552
Loss/Total,750,3.775996685028076,1766242834.7381518
Loss/Total,800,3.875131607055664,1766242948.662372
Loss/Total,850,3.9474568367004395,1766243060.0456483
Loss/Total,900,3.653775453567505,1766243176.944988
Loss/Total,950,3.732832431793213,1766243290.4387689
Loss/Total,1000,3.6468098163604736,1766243404.602433
Loss/Total,1050,3.4699532985687256,1766243518.0716372
Loss/Total,1100,3.388728141784668,1766243632.3845232
Loss/Total,1150,3.4677233695983887,1766243746.7543721
Loss/Total,1200,3.3241496086120605,1766243859.9366171
Loss/Total,1250,3.3053104877471924,1766243973.6849754
Loss/Total,1300,3.295053720474243,1766244086.9945922
Loss/Total,1350,3.3871116638183594,1766244201.0660641
Loss/Total,1400,3.110180139541626,1766244314.0908
Loss/Total,1450,3.2652511596679688,1766244428.3710482
Loss/Total,1500,3.3499269485473633,1766244540.747774
Loss/Total,1550,3.345118522644043,1766244652.9100506
Loss/Total,1600,3.383967638015747,1766244765.5189726
Loss/Total,1650,3.1942949295043945,1766244875.8540726
Loss/Total,1700,3.45306658744812,1766244988.3812346
Loss/Total,1750,3.1039376258850098,1766245104.4558308
Loss/Total,1800,2.965056896209717,1766245215.1516778
Loss/Total,1850,3.209373712539673,1766245328.7003925
Loss/Total,1900,3.2849907875061035,1766245442.4780877
Loss/Total,1950,2.995138645172119,1766245554.0123565
Loss/Total,2000,3.0195093154907227,1766245670.260312
